40
Tax0	0.0	.	.	.	0.31966	0.31099	.	0.32214	0.30447	.	.	.	.	0.36742	0.43711	.	.	0.31008	.	.	.	1.15924	.	1.08588	.	.	.	.	.	0.86136	.	.	.	.	.	0.84519	.	0.75406	0.75812	.
Tax1	.	0.0	0.50473	0.49618	.	.	.	.	.	.	0.72109	.	.	.	0.60635	.	0.55544	0.47933	1.20117	.	1.3219	.	.	1.25513	1.01652	1.01883	0.99016	.	1.0909	.	.	.	.	1.02042	1.1119	.	.	.	.	0.93707
Tax30	.	0.50473	0.0	0.02345	.	.	.	.	.	0.36887	0.4849	.	.	0.47806	0.54774	.	.	0.42072	.	1.14623	.	.	.	1.19652	.	.	0.93155	.	.	.	0.97378	0.97197	0.97841	0.96182	1.0533	.	0.96983	.	.	.
Tax31	.	0.49618	0.02345	0.0	.	0.09605	0.20215	0.22756	.	.	.	0.37642	.	0.46951	0.53919	0.55989	0.48828	0.41217	.	.	.	.	.	.	.	0.95167	.	.	.	0.96344	.	.	0.96986	0.95326	.	.	.	0.85614	.	.
Tax24	0.31966	.	.	.	0.0	.	.	.	0.22169	0.35304	0.46908	.	.	.	.	.	0.48101	.	.	1.1304	.	1.25405	1.19325	1.18069	0.94209	.	.	.	.	.	.	0.95614	.	.	.	0.94	.	.	.	.
Tax21	0.31099	.	.	0.09605	.	0.0	0.18621	.	0.21302	0.34437	.	.	.	.	.	.	.	0.39622	.	1.12173	.	.	.	1.17202	.	.	.	.	.	0.9475	.	0.94747	.	.	1.0288	.	.	.	0.84426	.
Tax11	.	.	.	0.20215	.	0.18621	0.0	.	.	0.42429	.	.	0.56843	0.53349	.	.	.	.	.	.	1.31872	1.3253	.	.	1.01334	.	.	0.88008	1.08772	.	.	.	1.03384	.	1.10872	.	.	.	0.92419	0.93389
Tax5	0.32214	.	.	0.22756	.	.	.	0.0	0.22417	0.35552	0.47156	.	0.49965	0.46471	.	.	.	.	.	.	1.24995	1.25653	.	1.18317	.	.	.	.	1.01895	0.95865	.	0.95862	0.96507	0.94847	1.03995	0.94248	0.95648	.	0.85541	0.86511
Tax12	0.30447	.	.	.	0.22169	0.21302	.	0.22417	0.0	.	0.39179	0.34122	.	0.44704	.	0.53742	0.46581	.	.	.	1.23227	1.23885	1.17806	.	.	0.9292	.	0.79363	.	.	.	0.94094	0.94739	.	.	.	.	.	.	0.84744
Tax13	.	.	0.36887	.	0.35304	0.34437	0.42429	0.35552	.	0.0	.	0.47256	.	.	.	.	0.59716	0.52104	.	1.24655	.	.	1.3094	.	1.05824	.	.	.	1.13262	1.07232	.	.	1.07874	1.06214	1.15362	1.05615	.	.	0.96908	.
Tax7	.	0.72109	0.4849	.	0.46908	.	.	0.47156	0.39179	.	0.0	0.5886	.	0.69442	0.7641	0.78481	.	.	1.35892	.	.	.	1.42544	1.41288	.	.	1.14791	.	.	.	.	1.18833	1.19477	.	1.26965	1.17219	.	.	1.08512	.
Tax6	.	.	.	0.37642	.	.	.	.	0.34122	0.47256	0.5886	0.0	0.62943	.	.	.	0.61326	0.53715	.	.	.	1.38631	1.32551	.	1.07434	.	.	0.94108	.	.	.	1.0884	.	.	1.16973	1.07226	.	0.98112	0.98519	.
Tax9	.	.	.	.	.	.	0.56843	0.49965	.	.	.	0.62943	0.0	0.16814	0.30609	0.32679	.	.	.	1.10713	.	1.23078	.	.	.	.	0.89245	.	.	0.9329	.	0.93287	0.93932	0.92272	1.0142	0.91673	.	.	0.82967	0.83936
Tax10	0.36742	.	0.47806	0.46951	.	.	0.53349	0.46471	0.44704	.	0.69442	.	0.16814	0.0	.	.	0.22024	.	1.06853	1.0722	.	.	.	.	0.88388	0.88619	.	0.75062	.	.	0.89974	.	.	.	0.97926	.	.	.	.	.
Tax16	0.43711	0.60635	0.54774	0.53919	.	.	.	.	.	.	0.7641	.	0.30609	.	0.0	.	0.24379	.	.	1.14188	.	.	.	.	.	.	0.9272	0.82031	1.02795	.	.	.	.	.	1.04895	.	.	.	.	.
Tax17	.	.	.	0.55989	.	.	.	.	0.53742	.	0.78481	.	0.32679	.	.	0.0	0.26449	.	.	1.16258	.	.	.	1.21287	.	.	0.9479	0.84101	1.04865	.	.	.	.	.	1.06965	.	0.98618	0.88105	0.88511	.
