40
Tax0	0.0	0.35824	.	.	0.31966	.	0.39092	0.32214	0.30447	0.43581	0.55185	0.45192	.	0.36742	0.43711	0.45781	.	0.31008	.	.	1.15266	1.15924	.	.	0.84728	0.84959	0.82091	0.71402	.	0.86136	.	0.86133	0.86777	0.85118	.	0.84519	0.85919	.	.	.
Tax1	0.35824	0.0	.	.	0.48891	0.48024	0.56016	.	0.47371	.	0.72109	.	.	0.53667	.	.	0.55544	.	1.20117	.	.	1.32848	.	1.25513	.	1.01883	0.99016	.	.	1.0306	1.03238	1.03058	1.03702	.	.	.	.	0.9233	0.92737	.
Tax30	.	.	0.0	0.02345	.	0.1046	0.21071	0.23611	0.23752	.	0.4849	0.38497	.	0.47806	0.54774	.	.	0.42072	1.14256	1.14623	.	1.26988	1.20908	.	0.95791	0.96023	.	0.82465	.	0.97199	0.97378	0.97197	.	.	1.0533	.	0.96983	.	0.86876	.
Tax31	.	.	0.02345	0.0	0.07889	0.09605	0.20215	0.22756	.	0.36031	0.47635	0.37642	.	0.46951	0.53919	0.55989	0.48828	.	1.13401	.	1.25474	1.26132	1.20053	1.18796	0.94936	0.95167	.	0.8161	.	0.96344	0.96522	0.96341	.	0.95326	1.04474	.	0.96127	.	0.86021	0.8699
Tax24	0.31966	0.48891	.	0.07889	0.0	.	0.19488	0.22028	0.22169	0.35304	0.46908	0.36915	0.49717	.	0.53192	.	.	.	1.12674	1.1304	1.24747	1.25405	1.19325	1.18069	0.94209	.	.	0.80883	1.01647	0.95617	0.95795	.	.	0.94599	.	0.94	0.954	.	.	.
Tax21	.	0.48024	0.1046	0.09605	.	0.0	.	0.21161	.	.	0.4604	.	.	0.45356	0.52325	0.54395	0.47233	0.39622	.	1.12173	.	1.24538	1.18458	1.17202	.	.	.	0.80016	1.0078	.	0.94928	0.94747	.	.	1.0288	.	0.94533	0.8402	.	.
Tax11	0.39092	0.56016	0.21071	0.20215	0.19488	.	0.0	0.29154	.	0.42429	0.54033	0.4404	.	0.53349	.	0.62387	0.55226	0.47615	1.19799	1.20166	1.31872	.	1.26451	1.25195	.	1.01565	0.98697	0.88008	1.08772	.	1.0292	1.02739	.	.	.	.	1.02526	.	0.92419	0.93389
Tax5	0.32214	.	0.23611	0.22756	0.22028	0.21161	0.29154	0.0	.	.	.	.	0.49965	0.46471	0.5344	.	0.48348	.	1.12922	1.13288	1.24995	1.25653	1.19573	.	.	0.94688	.	0.81131	1.01895	0.95865	.	0.95862	0.96507	0.94847	.	0.94248	0.95648	.	0.85541	0.86511
Tax12	0.30447	0.47371	0.23752	.	0.22169	.	.	.	0.0	.	0.39179	0.34122	.	.	.	.	0.46581	.	.	.	.	.	.	.	.	0.9292	0.90053	0.79363	1.00127	0.94097	.	0.94094	0.94739	.	.	0.92481	.	.	0.83774	.
Tax13	0.43581	.	.	0.36031	0.35304	.	0.42429	.	.	0.0	0.52314	0.47256	.	0.57839	0.64807	.	0.59716	.	.	1.24655	1.36362	.	1.3094	1.29684	.	.	1.03187	.	.	1.07232	.	1.07229	1.07874	.	.	1.05615	.	0.96502	0.96908	0.97878
Tax7	0.55185	0.72109	0.4849	0.47635	0.46908	0.4604	0.54033	.	0.39179	0.52314	0.0	0.5886	.	.	0.7641	0.78481	0.71319	.	.	.	1.47965	.	1.42544	.	1.17427	1.17658	.	1.04101	1.24865	1.18835	.	1.18833	1.19477	1.17818	.	.	.	1.08105	1.08512	.
Tax6	0.45192	.	0.38497	0.37642	0.36915	.	0.4404	.	0.34122	0.47256	0.5886	0.0	0.62943	0.59449	.	.	.	.	1.25899	1.26266	1.37972	1.38631	.	.	1.07434	1.07665	.	0.94108	1.14872	1.08842	1.09021	1.0884	.	1.07825	1.16973	1.07226	.	0.98112	.	0.99489
Tax9	.	.	.	.	0.49717	.	.	0.49965	.	.	.	0.62943	0.0	.	0.30609	0.32679	0.25517	.	1.10347	1.10713	1.2242	.	1.16999	1.15742	.	0.92113	.	0.78556	0.9932	.	0.93468	0.93287	0.93932	.	1.0142	.	0.93073	0.8256	0.82967	.
Tax10	0.36742	0.53667	0.47806	0.46951	.	0.45356	0.53349	0.46471	.	0.57839	.	0.59449	.	0.0	.	.	0.22024	0.24921	1.06853	.	1.18926	1.19584	1.13505	1.12249	0.88388	0.88619	.	0.75062	0.95826	.	0.89974	0.89794	.	0.88779	0.97926	.	0.8958	.	.	0.80443
Tax16	0.43711	.	0.54774	0.53919	0.53192	0.52325	.	0.5344	.	0.64807	0.7641	.	0.30609	.	0.0	0.22643	0.24379	0.31889	.	.	1.25895	1.26553	1.20473	1.19217	.	0.95588	0.9272	0.82031	1.02795	.	0.96943	0.96762	.	.	1.04895	0.95148	0.96548	0.86035	.	0.87411
Tax17	0.45781	.	.	0.55989	.	0.54395	0.62387	.	.	.	0.78481	.	0.32679	.	0.22643	0.0	0.26449	0.33959	1.15892	1.16258	.	.	1.22543	1.21287	.	.	0.9479	.	1.04865	.	0.99013	.	.	.	.	0.97218	0.98618	0.88105	0.88511	.
Tax8	.	0.55544	.	0.48828	.	0.47233	0.55226	0.48348	0.46581	0.59716	0.71319	.	0.25517	0.22024	0.24379	0.26449	0.0	0.26798	1.0873	.	1.20803	1.21462	1.15382	1.14126	0.90265	.	0.87629	.	0.97703	0.91673	.	0.91671	0.92315	.	0.99803	0.90057	0.91457	.	0.8135	.
Tax2	0.31008	.	0.42072	.	.	0.39622	0.47615	.	.	.	.	.	.	0.24921	0.31889	0.33959	0.26798	0.0	1.01119	1.01485	.	.	.	1.06514	0.82654	.	0.80017	0.69328	0.90092	0.84062	.	.	.	.	.	0.82445	0.83845	0.73332	0.73739	.
Tax19	.	1.20117	1.14256	1.13401	1.12674	.	1.19799	1.12922	.	.	.	1.25899	1.10347	1.06853	.	1.15892	1.0873	1.01119	0.0	.	.	0.28865	.	.	.	0.79042	0.76174	0.65485	.	0.80219	.	.	0.99958	0.98299	1.07447	.	0.991	1.07152	1.07559	1.08529
Tax20	.	.	1.14623	.	1.1304	1.12173	1.20166	1.13288	.	1.24655	.	1.26266	1.10713	.	.	1.16258	.	1.01485	.	0.0	0.28574	.	.	.	0.79177	0.79408	0.7654	0.65851	0.86615	0.80585	0.80763	.	1.00325	0.98665	.	0.98066	0.99466	.	1.07925	.
Tax34	1.15266	.	.	1.25474	1.24747	.	1.31872	1.24995	.	1.36362	1.47965	1.37972	1.2242	1.18926	1.25895	.	1.20803	.	.	0.28574	0.0	0.01775	.	0.3033	.	0.91115	.	0.77558	0.98322	.	0.9247	.	.	1.10372	.	1.09773	.	1.19225	1.19632	1.20602
Tax35	1.15924	1.32848	1.26988	1.26132	1.25405	1.24538	.	1.25653	.	.	.	1.38631	.	1.19584	1.26553	.	1.21462	.	0.28865	.	0.01775	0.0	0.32198	0.30988	.	.	.	0.78216	.	0.9295	0.93128	0.92947	.	.	.	1.10431	.	1.19884	.	1.2126
Tax15	.	.	1.20908	1.20053	1.19325	1.18458	1.26451	1.19573	.	1.3094	1.42544	.	1.16999	1.13505	1.20473	1.22543	1.15382	.	.	.	.	0.32198	0.0	.	0.85462	0.85693	.	.	0.929	0.8687	.	.	.	1.0495	1.14098	1.04352	1.05751	1.13804	1.14211	.
Tax14	.	1.25513	.	1.18796	1.18069	1.17202	1.25195	.	.	1.29684	.	.	1.15742	1.12249	1.19217	1.21287	1.14126	1.06514	.	.	0.3033	0.30988	.	0.0	.	0.84437	.	0.7088	.	.	0.85792	0.85611	.	.	1.12842	.	.	1.12548	1.12954	1.13924
Tax32	0.84728	.	0.95791	0.94936	0.94209	.	.	.	.	.	1.17427	1.07434	.	0.88388	.	.	0.90265	0.82654	.	0.79177	.	.	0.85462	.	0.0	.	0.52589	0.419	.	0.56634	.	0.56631	0.81493	0.79834	0.88982	.	0.80635	0.88687	0.89094	0.90064
Tax33	0.84959	1.01883	0.96023	0.95167	.	.	1.01565	0.94688	0.9292	.	1.17658	1.07665	0.92113	0.88619	0.95588	.	.	.	0.79042	0.79408	0.91115	.	0.85693	0.84437	.	0.0	.	.	.	0.56865	0.57044	0.56863	0.81724	.	0.89213	0.79466	.	.	0.89325	.
Tax3	0.82091	0.99016	.	.	.	.	0.98697	.	0.90053	1.03187	.	.	.	.	0.9272	0.9479	0.87629	0.80017	0.76174	0.7654	.	.	.	.	0.52589	.	0.0	0.32223	0.57878	.	.	0.51846	0.78857	0.77197	.	0.76598	.	0.86051	0.86457	0.87427
Tax4	0.71402	.	0.82465	0.8161	0.80883	0.80016	0.88008	0.81131	0.79363	.	1.04101	0.94108	0.78556	0.75062	0.82031	.	.	0.69328	0.65485	0.65851	0.77558	0.78216	.	0.7088	0.419	.	0.32223	0.0	0.47189	0.41159	.	.	.	0.66508	0.75656	0.65909	0.67309	.	.	.
Tax25	.	.	.	.	1.01647	1.0078	1.08772	1.01895	1.00127	.	1.24865	1.14872	0.9932	0.95826	1.02795	1.04865	0.97703	0.90092	.	0.86615	0.98322	.	0.929	.	.	.	0.57878	0.47189	0.0	0.11327	.	0.51268	.	0.87272	.	0.86673	0.88073	0.96126	0.96532	.
Tax26	0.86136	1.0306	0.97199	0.96344	0.95617	.	.	0.95865	0.94097	1.07232	1.18835	1.08842	.	.	.	.	0.91673	0.84062	0.80219	0.80585	.	0.9295	0.8687	.	0.56634	0.56865	.	0.41159	0.11327	0.0	0.45419	0.45238	0.82902	0.81242	.	.	0.82043	0.90096	.	.
Tax38	.	1.03238	0.97378	0.96522	0.95795	0.94928	1.0292	.	.	.	.	1.09021	0.93468	0.89974	0.96943	0.99013	.	.	.	0.80763	0.9247	0.93128	.	0.85792	.	0.57044	.	.	.	0.45419	0.0	0.00375	0.8308	0.8142	.	.	0.82221	.	0.9068	0.9165
Tax39	0.86133	1.03058	0.97197	0.96341	.	0.94747	1.02739	0.95862	0.94094	1.07229	1.18833	1.0884	0.93287	0.89794	0.96762	.	0.91671	.	.	.	.	0.92947	.	0.85611	0.56631	0.56863	0.51846	.	0.51268	0.45238	0.00375	0.0	0.82899	0.81239	0.90387	0.8064	0.8204	.	0.90499	0.91469
