55
Celtis	0.0	.	.	.	0.0747	0.0756	0.0856	0.0836	0.0649	0.0692	0.0887	0.097	.	0.0809	0.0932	.	.	.	0.1027	0.1015	.	.	.	.	0.2148	0.2135	0.2174	.	0.204	.	.	.	0.1879	.	.	0.1877	.	0.176	0.1792	0.1914	.	.	0.2309	.	.	0.1864	.	0.1889	0.1717	.	0.2033	.	0.2499	.	0.3263
NothofBal	.	0.0	.	.	.	0.0809	0.0909	0.089	.	.	0.0941	.	.	0.0863	0.0986	.	.	.	0.108	0.1068	0.1499	0.1538	.	0.1577	.	.	0.2228	0.2285	.	.	0.2001	0.1887	0.1933	.	.	0.1931	.	.	0.1846	0.1968	0.1787	.	.	.	0.1887	0.1918	.	.	.	.	0.2087	.	0.2553	0.3108	0.3317
Heuchera	.	.	0.0	.	.	0.0639	.	0.0719	0.0531	0.0575	0.077	.	.	0.0692	0.0815	.	.	.	.	.	0.1328	0.1367	0.1209	0.1406	0.2031	0.2018	.	.	.	.	0.183	0.1716	0.1762	0.1846	.	.	.	0.1642	0.1675	0.1797	0.1616	.	0.2192	0.1724	.	0.1747	0.175	0.1772	.	0.194	.	.	.	0.2937	0.3146
Floerkea	.	.	.	0.0	0.0806	0.0815	.	0.0895	0.0707	.	0.0946	.	0.0891	0.0868	0.0991	0.12	.	.	0.1085	.	0.1504	.	0.1385	.	.	0.2194	0.2233	0.229	.	0.2287	.	0.1892	.	0.2022	.	0.1936	.	0.1818	0.1851	0.1973	0.1792	.	0.2368	.	.	0.1923	.	.	0.1776	0.2116	.	.	.	.	.
Dipsacus	0.0747	.	.	0.0806	0.0	.	0.0668	.	.	0.0608	.	0.0886	0.0748	.	.	0.1058	.	.	0.0943	0.0931	.	.	.	.	.	0.2052	.	0.2148	.	0.2144	0.1864	0.1749	.	0.1879	.	0.1794	.	.	0.1709	.	.	0.2106	.	0.1757	.	0.1781	.	.	.	.	.	0.2408	0.2415	.	0.318
Cornuscan	0.0756	0.0809	0.0639	0.0815	.	0.0	.	.	.	0.0617	.	.	.	.	0.0857	.	0.1121	0.1316	0.0952	.	.	0.1409	0.1251	.	.	0.206	.	0.2156	0.1965	.	0.1872	0.1758	0.1804	0.1888	.	.	0.1666	0.1685	0.1717	.	0.1658	0.2114	.	.	0.1758	0.1789	.	0.1814	0.1642	0.1982	.	0.2417	0.2424	0.2979	0.3188
Gentiana	0.0856	0.0909	.	.	0.0668	.	0.0	0.0582	0.0673	0.0717	.	0.0995	.	0.0834	0.0957	.	0.1221	.	0.1051	0.1039	0.147	0.1509	.	.	.	0.216	.	.	0.2065	.	.	.	.	0.1988	.	.	.	.	0.1817	.	.	.	0.2334	.	.	0.1889	.	0.1914	0.1742	.	0.2058	.	0.2524	0.3079	0.3288
Nicotiana	0.0836	0.089	0.0719	0.0895	.	.	0.0582	0.0	.	.	.	0.0975	.	.	.	0.1147	.	.	0.1032	0.102	0.1451	0.1489	.	.	.	.	0.2179	0.2237	.	0.2233	0.1953	.	0.1884	.	.	.	.	.	0.1798	.	0.1738	.	.	.	.	.	.	.	0.1722	0.2062	0.2039	.	.	.	.
Platanus	0.0649	.	0.0531	0.0707	.	.	0.0673	.	0.0	.	.	0.0757	0.0619	0.0596	.	0.0929	.	.	0.0814	0.0802	0.1233	0.1271	0.1113	.	0.1935	0.1923	0.1961	0.2019	.	0.2015	0.1735	0.162	0.1667	.	.	0.1665	.	0.1547	.	.	.	.	0.2097	0.1628	.	0.1651	.	0.1677	.	0.1844	.	0.2279	0.2286	0.2842	0.3051
Gunnera	0.0692	.	0.0575	.	0.0608	0.0617	0.0717	.	.	0.0	0.0718	.	.	0.064	0.0763	.	.	.	.	0.0845	.	.	0.1157	.	.	.	.	0.2062	0.1871	.	.	0.1664	0.171	.	0.1565	.	0.1572	0.159	0.1623	.	.	0.202	0.214	.	0.1664	.	.	0.172	.	.	0.1864	0.2323	.	0.2885	0.3094
Austrobai	0.0887	0.0941	0.077	0.0946	.	.	.	.	.	0.0718	0.0	.	0.0529	.	.	.	.	0.1299	.	0.0923	.	.	0.1234	.	0.2056	0.2043	0.2082	0.2139	0.1948	0.2136	.	0.1741	0.1787	0.1871	0.1642	.	.	.	.	0.1822	.	0.2097	0.2217	0.1749	.	0.1772	.	.	.	.	.	.	0.2407	0.2962	0.3171
Victoria	0.097	.	.	.	0.0886	.	0.0995	0.0975	0.0757	.	.	0.0	.	0.0588	0.0744	.	.	.	0.1017	.	.	0.1475	0.1317	0.1514	0.2138	0.2126	.	.	.	.	0.1938	.	0.187	0.1953	0.1725	.	0.1732	.	0.1783	0.1905	0.1723	0.218	0.23	0.1831	.	0.1855	.	0.188	0.1708	0.2048	.	0.2482	0.2489	0.3045	0.3254
Tasmannia	.	.	.	0.0891	0.0748	.	.	.	0.0619	.	0.0529	.	0.0	.	.	0.0994	.	.	.	0.0867	.	0.1337	.	.	.	0.1988	.	0.2084	0.1893	.	0.18	.	0.1732	.	0.1587	0.173	0.1594	.	0.1645	0.1767	0.1586	0.2042	0.2162	.	0.1686	.	0.172	0.1742	.	.	0.1886	0.2344	0.2351	0.2907	0.3116
Hedycarya	0.0809	0.0863	0.0692	0.0868	.	.	0.0834	.	0.0596	0.064	.	0.0588	.	0.0	.	.	.	.	.	.	.	0.1314	0.1156	0.1353	0.1977	0.1965	0.2004	.	.	.	.	.	.	0.1793	0.1564	.	0.1571	.	.	0.1744	0.1563	.	.	0.1671	.	0.1694	0.1697	0.1719	0.1547	0.1887	.	0.2322	0.2329	.	0.3093
Saururus	0.0932	0.0986	0.0815	0.0991	.	0.0857	0.0957	.	.	0.0763	.	0.0744	.	.	0.0	.	0.1149	.	0.0979	.	.	0.1437	0.1279	.	.	.	0.2127	.	0.1993	.	.	.	.	0.1916	0.1687	.	0.1694	.	.	.	.	0.2142	0.2262	0.1794	0.1786	0.1817	0.182	0.1842	.	.	0.1986	.	0.2452	.	0.3216
Amaranthu	.	.	.	0.12	0.1058	.	.	0.1147	0.0929	.	.	.	0.0994	.	.	0.0	0.1284	.	0.1114	.	0.1532	.	0.1413	0.161	0.2235	0.2222	0.2261	0.2318	.	.	0.2034	0.192	.	0.205	0.1822	.	0.1828	0.1847	0.1879	.	0.182	.	.	0.1928	0.192	0.1951	.	0.1976	.	.	0.2121	0.2579	0.2586	0.3142	.
Carex	.	.	.	.	.	0.1121	0.1221	.	.	.	.	.	.	.	0.1149	0.1284	0.0	0.0972	0.0874	0.0862	.	0.149	.	.	0.2154	0.2141	.	0.2237	.	.	.	0.1839	0.1885	.	.	0.1883	.	0.1765	.	.	0.1739	0.2195	.	0.1847	.	.	0.1873	0.1895	0.1723	.	0.2039	.	.	0.306	.
Avena	.	.	.	.	.	0.1316	.	.	.	.	0.1299	.	.	.	.	.	0.0972	0.0	0.1068	0.1056	.	0.1684	0.1526	0.1723	.	.	.	0.2431	.	.	0.2147	.	0.2079	0.2163	.	0.2077	0.1941	.	0.1992	.	0.1933	0.2389	0.2509	0.2041	.	0.2064	0.2068	0.2089	.	.	0.2233	.	0.2699	.	.
Aloe	0.1027	0.108	.	0.1085	0.0943	0.0952	0.1051	0.1032	0.0814	.	.	0.1017	.	.	0.0979	0.1114	0.0874	0.1068	0.0	.	0.1281	.	.	0.1359	.	0.1971	.	0.2067	0.1876	0.2064	0.1783	.	0.1715	.	0.157	0.1713	0.1577	0.1596	0.1628	.	.	.	.	.	.	.	0.1703	0.1725	0.1553	0.1893	0.1869	.	0.2335	0.289	0.3099
Iris	0.1015	0.1068	.	.	0.0931	.	0.1039	0.102	0.0802	0.0845	0.0923	.	0.0867	.	.	.	0.0862	0.1056	.	0.0	.	.	0.115	0.1347	0.1972	0.1959	.	0.2055	.	.	0.1771	.	.	.	.	0.1701	.	0.1584	.	.	.	.	.	0.1665	0.1657	.	.	.	0.1541	0.1881	.	0.2316	.	0.2879	0.3087
Picea_pun	.	0.1499	0.1328	0.1504	.	.	0.147	0.1451	0.1233	.	.	.	.	.	.	0.1532	.	.	0.1281	.	0.0	0.0256	.	.	.	0.192	.	.	0.1825	0.2013	0.1732	.	.	0.1748	.	0.1662	.	0.1545	.	0.1699	0.1518	0.1974	.	.	0.1618	.	.	.	.	0.1842	.	0.2277	0.2284	0.2839	.
Larix	.	0.1538	0.1367	.	.	0.1409	0.1509	0.1489	0.1271	.	.	0.1475	0.1337	0.1314	0.1437	.	0.149	0.1684	.	.	0.0256	0.0	.	0.0998	.	.	.	.	0.1864	.	0.1771	.	.	.	.	0.1701	.	.	.	0.1738	.	0.2013	0.2133	.	0.1657	.	.	0.1713	0.1541	.	0.1857	.	0.2323	0.2878	.
Ginkgobil	.	.	0.1209	0.1385	.	0.1251	.	.	0.1113	0.1157	0.1234	0.1317	.	0.1156	0.1279	0.1413	.	0.1526	.	0.115	.	.	0.0	0.084	0.1813	.	.	.	0.1706	.	0.1613	.	.	0.1629	.	0.1543	0.1407	.	.	0.158	0.1399	.	.	0.1507	.	.	0.1533	.	0.1383	.	.	0.2158	.	.	0.2929
Podocarpus	.	0.1577	0.1406	.	.	.	.	.	.	.	.	0.1514	.	0.1353	.	0.161	.	0.1723	0.1359	0.1347	.	0.0998	0.084	0.0	.	.	.	0.2094	.	0.209	.	.	0.1742	.	.	.	.	0.1622	0.1655	.	.	.	.	0.1704	0.1696	.	.	0.1752	0.158	0.192	0.1896	0.2355	.	.	0.3126
Xiphopteri	0.2148	.	0.2031	.	.	.	.	.	0.1935	.	0.2056	0.2138	.	0.1977	.	0.2235	0.2154	.	.	0.1972	.	.	0.1813	.	0.0	0.0926	.	.	0.1563	.	0.147	0.1567	.	0.1804	.	.	.	0.1805	.	0.1959	.	.	0.2354	0.1886	0.1878	.	0.1913	.	0.1762	.	0.2078	.	0.2544	0.3099	.
Nephrolepi	0.2135	.	0.2018	0.2194	0.2052	0.206	0.216	.	0.1923	.	0.2043	0.2126	0.1988	0.1965	.	0.2222	0.2141	.	0.1971	0.1959	0.192	.	.	.	0.0926	0.0	0.1239	.	.	.	.	0.1554	.	.	0.1739	0.191	0.1774	0.1792	.	.	.	.	0.2342	.	.	0.1896	0.19	.	.	0.2089	0.2066	.	.	0.3087	.
Asplenium	0.2174	0.2228	.	0.2233	.	.	.	0.2179	0.1961	.	0.2082	.	.	0.2004	0.2127	0.2261	.	.	.	.	.	.	.	.	.	0.1239	0.0	0.1431	0.159	0.1777	0.1496	.	0.1746	0.183	.	.	0.1813	.	0.1864	0.1986	0.1804	.	0.2381	.	.	.	0.1939	0.1961	.	.	.	.	.	0.3126	0.3335
