55
Celtis	0.0	0.0568	0.0647	.	.	0.0756	.	0.0836	.	0.0692	0.0887	0.097	.	.	0.0932	.	0.1197	.	0.1027	.	0.1445	.	0.1326	0.1523	.	.	0.2174	0.2231	.	.	0.1947	.	0.1879	0.1963	.	.	.	.	.	0.1914	0.1733	.	0.2309	.	.	.	.	0.1889	.	0.2057	.	.	0.2499	0.3055	.
NothofBal	0.0568	0.0	.	0.0893	.	.	0.0909	.	.	.	.	.	0.0886	.	.	.	.	.	.	0.1068	.	0.1538	.	.	.	0.2189	0.2228	0.2285	0.2094	.	0.2001	0.1887	0.1933	.	.	0.1931	.	.	.	.	.	.	0.2363	0.1895	0.1887	0.1918	.	0.1943	.	.	.	0.2546	.	.	.
Heuchera	0.0647	.	0.0	.	0.063	.	.	.	.	0.0575	0.077	0.0853	0.0715	.	0.0815	.	.	.	0.0909	0.0898	0.1328	.	.	0.1406	0.2031	0.2018	.	.	.	.	0.183	.	.	.	0.1617	.	.	0.1642	0.1675	0.1797	0.1616	.	.	.	.	0.1747	0.175	.	0.16	0.194	.	.	0.2382	0.2937	.
Floerkea	.	0.0893	.	0.0	0.0806	0.0815	.	0.0895	.	.	.	0.1029	0.0891	.	0.0991	.	.	0.145	0.1085	.	.	0.1543	.	.	.	.	.	0.229	.	0.2287	.	.	.	.	0.1793	.	.	.	.	.	0.1792	.	0.2368	.	.	.	0.1926	.	0.1776	.	.	.	0.2558	.	.
Dipsacus	.	.	0.063	0.0806	0.0	.	.	.	0.0565	.	.	.	.	.	.	.	.	.	0.0943	.	0.1362	.	0.1243	.	.	0.2052	0.2091	0.2148	.	.	0.1864	.	0.1796	.	.	.	.	.	.	0.1831	.	0.2106	.	0.1757	.	0.1781	.	.	0.1634	.	0.195	0.2408	.	0.2971	.
Cornuscan	0.0756	.	.	0.0815	.	0.0	0.0677	0.0657	.	0.0617	0.0812	.	.	.	.	.	.	0.1316	0.0952	.	.	.	0.1251	0.1448	0.2073	.	0.2099	.	0.1965	.	0.1872	0.1758	.	.	.	0.1802	.	.	.	0.1839	.	0.2114	.	.	.	0.1789	0.1792	.	0.1642	.	0.1958	.	.	.	.
Gentiana	.	0.0909	.	.	.	0.0677	0.0	0.0582	0.0673	0.0717	0.0912	.	0.0857	.	.	.	.	0.1415	.	0.1039	.	.	.	.	0.2173	.	0.2199	.	.	.	.	.	0.1904	0.1988	0.1759	0.1902	.	0.1784	0.1817	0.1939	0.1758	0.2214	.	.	.	.	0.1892	0.1914	0.1742	0.2082	0.2058	.	.	0.3079	0.3288
Nicotiana	0.0836	.	.	0.0895	.	0.0657	0.0582	0.0	0.0654	0.0697	0.0893	0.0975	.	.	.	.	0.1202	.	0.1032	0.102	.	0.1489	0.1331	.	.	.	0.2179	.	0.2046	.	.	.	.	.	.	0.1882	0.1747	.	.	.	.	0.2195	0.2315	0.1846	0.1839	.	.	0.1895	.	.	0.2039	0.2497	.	0.306	0.3268
Platanus	.	.	.	.	0.0565	.	0.0673	0.0654	0.0	.	0.0675	.	.	0.0596	.	.	.	0.1178	.	.	.	0.1271	0.1113	0.131	.	.	.	.	.	0.2015	.	0.162	0.1667	0.175	0.1522	0.1665	0.1529	.	.	.	.	0.1977	0.2097	0.1628	.	0.1651	.	0.1677	.	.	.	.	.	.	0.3051
Gunnera	0.0692	.	0.0575	.	.	0.0617	0.0717	0.0697	.	0.0	0.0718	.	0.0663	.	.	.	0.1027	.	.	0.0845	0.1276	.	.	.	.	.	0.2005	.	.	0.2059	0.1778	.	0.171	.	.	0.1708	.	.	.	.	.	0.202	.	0.1672	0.1664	0.1695	0.1698	0.172	0.1548	.	.	.	0.233	.	0.3094
Austrobai	0.0887	.	0.077	.	.	0.0812	0.0912	0.0893	0.0675	0.0718	0.0	.	.	.	.	0.1049	.	.	0.0935	0.0923	.	.	.	0.1431	.	.	.	0.2139	.	.	.	0.1741	0.1787	.	.	.	0.1649	.	.	.	.	.	.	0.1749	.	.	0.1775	0.1797	.	0.1965	.	0.24	.	.	.
Victoria	0.097	.	0.0853	0.1029	.	.	.	0.0975	.	.	.	0.0	0.0611	.	0.0744	0.1132	.	.	.	0.1005	.	.	0.1317	.	.	.	.	0.2222	.	.	.	.	.	.	.	.	0.1732	0.175	.	0.1905	.	.	.	.	0.1824	.	.	.	0.1708	.	.	0.2482	.	0.3045	0.3254
Tasmannia	.	0.0886	0.0715	0.0891	.	.	0.0857	.	.	0.0663	.	0.0611	0.0	.	.	.	.	0.1243	0.0879	.	.	0.1337	0.1179	.	0.2	.	0.2027	.	0.1893	.	.	.	0.1732	.	.	.	.	.	.	.	.	0.2042	0.2162	.	.	0.1717	.	0.1742	0.157	0.191	.	.	.	.	0.3116
Hedycarya	.	.	.	.	.	.	.	.	0.0596	.	.	.	.	0.0	0.0583	.	0.1026	.	.	.	.	0.1314	0.1156	.	0.1977	.	0.2004	0.2061	.	.	0.1777	0.1663	.	.	0.1564	.	0.1571	0.1589	0.1622	.	0.1563	.	.	.	.	0.1694	0.1697	0.1719	0.1547	.	.	.	0.2329	.	0.3093
